Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
yl_001_1	yl_001_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13689427.0	0.0	18-100	55.0	39.54965230457324	99.1638646380159	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_001_2	yl_001_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13689427.0	0.0	18-100	54.0	40.029366480678604	99.04542827102989	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_002_1	yl_002_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14142320.0	0.0	18-100	54.0	38.99378935199535	99.17219890371594	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_002_2	yl_002_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14142320.0	0.0	18-100	54.0	39.1081343963316	99.06118882898987	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_003_1	yl_003_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14905423.0	0.0	18-100	53.0	35.51683386106641	99.14727612896327	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_003_2	yl_003_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14905423.0	0.0	18-100	53.0	35.55573066967319	99.07590626579334	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_004_1	yl_004_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13587754.0	0.0	18-100	54.0	36.79499214703946	99.14456855783524	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_004_2	yl_004_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13587754.0	0.0	18-100	53.0	37.98043738443534	99.0717473984295	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_005_1	yl_005_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13889401.0	0.0	18-100	51.0	30.419577637140833	99.14902795304131	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_005_2	yl_005_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13889401.0	0.0	18-100	51.0	30.799527934151392	99.13539741562649	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_006_1	yl_006_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12032889.0	0.0	18-100	53.0	35.408945188335686	99.13756488570617	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_006_2	yl_006_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12032889.0	0.0	18-100	53.0	36.61709000378666	99.09617515793589	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
